	id	keywords	text	timestamp	language	user_id	hashtags	geo	coordinates	place	user_timezone
798	478679075418959872	oil industry	@Janfra2   She has the oil industry kissing up to her. public school is  a diversion till the Northern Gate is done	1402946559.0	en	2614469777					
799	478680140747378688	oil price	"RT @philstockworld: Iraq Insurgency ""Kicks it up a Notch"" - Oil Price Manipulation and Central Banksters $USO $SCO $CL_F -- http://t.co/M4B…"	1402946813.0	en	2408444743					
800	478680312734437377	oil futures	Most Asian Futures Fall as S&amp;P 500 Holds Gains; Oil Drops http://t.co/HKJ54DcLyN #Forex	1402946854.0	en	1164579332	Forex				
801	478680337875476480	oil industry	Bill Fenstermaker: In defense of the oil &amp; gas industry http://t.co/LqO3YwYNjB	1402946860.0	en	386034714					Eastern Time (US & Canada)
802	478685400408420353	oil prices	Here's An Annotated Chart Of Oil Prices Since The Lincoln Presidency http://t.co/5xvUX7gkf0	1402948067.0	en	25605222					Central Time (US & Canada)
803	478686272824029184	oil price	"RT @philstockworld: Iraq Insurgency ""Kicks it up a Notch"" - Oil Price Manipulation and Central Banksters $USO $SCO $CL_F -- http://t.co/M4B…"	1402948275.0	en	2453170692					
804	478686579028795392	trade oil	@Lowetide_ dammit LT Oil chatting w Mark Fraser....... What next: trade in works for Rene Bourque	1402948348.0	en	318739645					
805	478689930248732672	buy oil	RT @HoucineZnagui: Iran's team looking like they came to buy oil http://t.co/EgeMcwrkbC	1402949147.0	en	1869869502					
806	478692648178679809	oil companies	How One Kentucky Town Is Fighting Back Against The Greed Of Oil Companies http://t.co/PYxOuC5hrO	1402949795.0	en	295394963					
807	478693419917664256	oil price	"RT @philstockworld: Iraq Insurgency ""Kicks it up a Notch"" - Oil Price Manipulation and Central Banksters $USO $SCO $CL_F -- http://t.co/M4B…"	1402949979.0	en	2432065123					
808	478696813126352896	oil price	Lamphier: Toronto stocks flirt with new high on oil price spike http://t.co/aQLtHSK6X7 #yyz	1402950788.0	en	15769858	yyz				Mountain Time (US & Canada)
809	478698931250270208	nymex crude	Binary Options - NYMEX crude prices ease in Asia with Iraq tension underpiining mkt http://t.co/RK7XQmIuY9	1402951293.0	en	872655614					Dublin
810	478701493949063169	oil price	"RT @philstockworld: Iraq Insurgency ""Kicks it up a Notch"" - Oil Price Manipulation and Central Banksters $USO $SCO $CL_F -- http://t.co/M4B…"	1402951904.0	en	2437527103					
811	478703117173673984	oil industry	Protect Florida Panthers from the Oil Industry http://t.co/mMGKvnDxj2 @moveon	1402952291.0	en	1657922330					
812	478704882967277568	oil prices	"Latest News: Oil prices barely budge as market watches Iraq: 
The price of oil finished down 1 cent as fears o... http://t.co/YHrAhqdx9h"	1402952712.0	en	16429852					Central Time (US & Canada)
813	478707714109886464	brent oil	#pakistan#news US oil pices flat, Brent higher on Iraq uncertainty: NEW YORK (AFP) - US oil traded little chan... http://t.co/3o8hWFFcvI	1402953387.0	en	411039931					Islamabad
814	478708108383236096	crude oil	RT @FreshPips: Commodity Technical Outlook On CRUDE OIL | http://t.co/jG2Y1mWy8X http://t.co/EV6BupP2Ic	1402953481.0	en	459985247					Vienna
815	478710016778579968	oil price	"RT @philstockworld: Iraq Insurgency ""Kicks it up a Notch"" - Oil Price Manipulation and Central Banksters $USO $SCO $CL_F -- http://t.co/M4B…"	1402953936.0	en	2422540812					
816	478713296724701184	buy oil	You #selfishly wouldn't pay more for car ins that covers oil changes but govt health care makes you buy health ins for routine checkups.	1402954718.0	en	1702904582	selfishly				Atlantic Time (Canada)
817	478721312047636481	crude oil	Three month Crude Oil prices. Notice the increase, but will it increase to 150 or 200 dollars per barrel? http://t.co/1ZMTQJ1YoJ	1402956629.0	en	1281896840					
818	478733613932900353	fuel oil	Get fuel oil from waste tyre to oil refining machine http://t.co/GGx3hFxkEH	1402959562.0	en	2519436176					
819	478737887932866560	oil trading	Exclusive: BNP hands years of oil trading files to U.S. in $10 billion probe http://t.co/C3wq4EcKP3	1402960581.0	en	202550894					London
820	478740777795743744	crude oil	#News Briefing: U.S. Crude Oil Exports Hit a 15-Year Monthly High: The United States exported 268,000 barrels ...  http://t.co/FgLoCCSXGg	1402961270.0	en	2347518546	News				
821	478742250013200384	oil price	SEXY GIRL OIL PAINTING SOLIDWOOD KOREA HARDWARE 6 STRINGS ELECTRIC GUITAR 2595 - Full read by eBay: Price 81.0... http://t.co/P5Uz2YOHG5	1402961621.0	en	1924756844					
822	478771626935205888	buy oil	#1: Now Foods Ultrasonic Oil Diffuser: Now Foods Ultrasonic Oil Diffuser by Now Foods (122) Buy new: $44.99... http://t.co/BrmoKL1WuA	1402968625.0	en	2388470034					
823	478775280144633856	oil companies	Bigger future for smaller oil companies in Russia as country pushes into new frontiers http://t.co/4nq9nVveOL	1402969496.0	en	21191494					London
824	478777498944020480	oil prices	#GHEnergy: higher oil prices will mean increased losses and a bigger subsidy bill for the Indian government #Iraq #ISIS	1402970025.0	en	151395708	GHEnergy#Iraq#ISIS				Mumbai
825	478785023546384384	fuel oil	EFCC Arrest 121 Suspects For Fuel Subsidy Scam, Oil theft http://t.co/34tjDD9pep	1402971819.0	en	327850398					
826	478785027702935552	fuel oil	EFCC Arrest 121 Suspects For Fuel Subsidy Scam, Oil theft http://t.co/57pqjeF1Bm	1402971820.0	en	837723918					
827	478785136780009472	fuel oil	EFCC Arrest 121 Suspects For Fuel Subsidy Scam, Oil theft http://t.co/lbXC2PZho2	1402971846.0	en	372198444					
828	478787900809572352	brent crude	Geopolitical worries left world markets trading on a nervous note as the week got under way, with Brent crude oil... http://t.co/1FofSbY2FA	1402972505.0	en	446242372					Berlin
829	478790367081279488	brent crude price	Oil markets spike on Iraq concerns -  The price of Brent crude spiked on Friday over concerns about the ongoing... http://t.co/ZFWZHhhDSz	1402973093.0	en	615284120					Pacific Time (US & Canada)
830	478800223674716160	oil and gas news	Alaska Oil and Gas Study Highlights Industry's Economic Effects | Local News - http://t.co/XsFAVHFlN1 Anchorage http://t.co/DBI1mQeKVC	1402975443.0	en	963868616					
